,city,school_name,sector,school_subclass,curricular_class
2828,taguig,moreh academy inc.,private,non-sectarian,all offering (k to 12)
2829,taguig,noah's academy incorporated,private,non-sectarian,all offering (k to 12)
2830,taguig,centerville academy inc.,private,non-sectarian,all offering (k to 12)
2831,taguig,"hansarang christian academy, inc.",private,non-sectarian,es and jhs (k to 10)
2832,taguig,learn & explore montessori school (montessori method) inc.,private,non-sectarian,all offering (k to 12)
2833,taguig,(ftjca) family tabernacle of jesus christ almighty christian academy,private,sectarian,all offering (k to 12)
2834,taguig,"excellent achievers learning center, inc.",private,non-sectarian,es and jhs (k to 10)
2835,taguig,"huckleberry montessori school, inc.",private,non-sectarian,es and jhs (k to 10)
2836,taguig,"mere academy, inc.",private,non-sectarian,es and jhs (k to 10)
2837,taguig,"hsl - braille college,inc.",private,non-sectarian,all offering (k to 12)
2838,taguig,"gymnazo christian academy, inc.",private,non-sectarian,purely es
2839,taguig,"heaven's door christian academy , inc.",private,non-sectarian,es and jhs (k to 10)
2840,taguig,"battlefield baptist academy, inc.",private,non-sectarian,purely es
2841,taguig,"spark academy of global city, inc.",private,non-sectarian,es and jhs (k to 10)
2842,taguig,sbp child learning advancement school inc.,private,non-sectarian,purely es
2843,taguig,"salt & light christian school - taguig, inc.",private,non-sectarian,purely es
2844,taguig,"amazing grace academy - taguig, inc.",private,sectarian,purely es
2845,taguig,good shepherd of taguig colleges inc.,private,non-sectarian,all offering (k to 12)
2846,taguig,"saint lawrence foundation school, inc.",private,non-sectarian,es and jhs (k to 10)
2847,taguig,"children's integrated learning systems, inc.",private,non-sectarian,purely es
2848,taguig,tmb madrasah - montessori learning center inc.,private,non-sectarian,purely es
2849,taguig,solid rock christian academy of taguig inc.,private,non-sectarian,purely es
2850,taguig,"arandia college taguig, inc.",private,non-sectarian,all offering (k to 12)
2851,taguig,jf holy one academy,private,non-sectarian,es and jhs (k to 10)
2852,taguig,"dreamworks achievers academy, inc.",private,non-sectarian,purely es
2853,taguig,"central village thinkers academy, inc.",private,non-sectarian,es and jhs (k to 10)
2854,taguig,"the river of life learning center taguig, inc.",private,non-sectarian,purely es
2855,taguig,"next generation leaders academy, inc.",private,non-sectarian,purely es
2856,taguig,kapt jose cardones integrated school,public,deped managed,es and jhs (k to 10)
2857,taguig,silangan elementary school,public,deped managed,purely es
2858,taguig,tenement elementary school,public,deped managed,purely es
2859,taguig,gat. andres bonifacio elmentary school,public,deped managed,purely es
2860,taguig,shs in barangay fort bonifacio,public,deped managed,purely shs
2861,taguig,western bicutan nhs,public,deped managed,jhs with shs
2862,taguig,gat. andres bonifacio high school,public,deped managed,purely jhs
2863,taguig,mca montessori school (fort bonifacio branch),private,non-sectarian,all offering (k to 12)
2864,taguig,academia de san isidro,private,sectarian,es and jhs (k to 10)
2865,taguig,beacon international school foundation inc.,private,non-sectarian,es and jhs (k to 10)
2866,taguig,gabby's christian school (e.p. village branch),private,non-sectarian,purely es
2867,taguig,god's grace christian academy (g.g.c.a.) inc.,private,non-sectarian,es and jhs (k to 10)
2868,taguig,integrated montessori center,private,non-sectarian,all offering (k to 12)
2869,taguig,philippine army officers' ladies foundation school,private,non-sectarian,purely es
2870,taguig,"st. bernard academy of taguig, inc.,",private,non-sectarian,es and jhs (k to 10)
2871,taguig,"adb mindsfield learning school, inc.",private,non-sectarian,purely es
2872,taguig,"little therese learning school, inc.",private,non-sectarian,purely es
2873,taguig,the international montessori school @treston inc.,private,non-sectarian,purely es
2874,taguig,global leaders international school inc.,private,non-sectarian,es and jhs (k to 10)
2875,taguig,"hand in hand learning center, inc.",private,non-sectarian,purely es
2876,taguig,"our lady of guidance integrated school, inc.",private,non-sectarian,purely es
2877,taguig,"thel's muslim-christian academy, inc.",private,non-sectarian,es and jhs (k to 10)
2878,taguig,"the abba's orchard school, inc.",private,non-sectarian,purely es
2879,taguig,"the abba's orchard school, inc.",private,non-sectarian,purely es
2880,taguig,"in touch educational center, inc.",private,non-sectarian,purely es
2881,taguig,"tridium academy, inc.",private,non-sectarian,purely es
2882,taguig,manila japanese school,private,non-sectarian,es and jhs (k to 10)
2883,taguig,"cambridge children's learning and development, inc.",private,non-sectarian,purely es
2884,taguig,"british education, inc.",private,non-sectarian,es and jhs (k to 10)
2885,taguig,playworks preschool at bgc inc.,private,non-sectarian,purely es
2886,taguig,creative play corner school inc.,private,non-sectarian,purely es
2887,taguig,"christian bible baptist academy of taguig city, inc.",private,non-sectarian,es and jhs (k to 10)
2888,taguig,zinah christian academy inc.,private,non-sectarian,purely es
2889,taguig,e.p ville integrated academy,private,sectarian,es and jhs (k to 10)
2890,taguig,"st. patricia foundation school,inc.",private,non-sectarian,es and jhs (k to 10)
2891,taguig,victory christian international school,private,non-sectarian,purely es
2892,taguig,"mary lourdes academy, inc.",private,non-sectarian,es and jhs (k to 10)
2893,taguig,global system integrated school inc.,private,non-sectarian,es and jhs (k to 10)
2894,taguig,mgc new life christian academy,private,non-sectarian,all offering (k to 12)
2895,taguig,"d'carmelite school, inc.",private,non-sectarian,purely es
2896,taguig,"eastern achiever academy of taguig, inc.",private,non-sectarian,es and jhs (k to 10)
2897,taguig,"the fisher valley college ""c-5 annex""",private,non-sectarian,es and jhs (k to 10)
2898,taguig,mother of perpetual help school,private,non-sectarian,es and jhs (k to 10)
2899,taguig,"christian harvest academy foundation, inc.",private,sectarian,es and jhs (k to 10)
2900,taguig,"aa total achievers academy, inc.",private,non-sectarian,purely es
2901,taguig,merry mount preparatory school taguig branch inc.,private,non-sectarian,purely es
2902,taguig,"spring of virtue integrated school, inc.",private,non-sectarian,es and jhs (k to 10)
2903,taguig,"fabec christian school, inc.",private,non-sectarian,purely es
2904,taguig,"asian christian theological school and colleges, inc.",private,sectarian,all offering (k to 12)
2905,taguig,"m.f.p academy, inc.",private,non-sectarian,purely es
2906,taguig,"thy covenant montessori school, inc.",private,non-sectarian,all offering (k to 12)
2907,taguig,"balmor christian school, inc.",private,non-sectarian,purely es
2908,taguig,ftjca christian academy - palar,private,sectarian,purely es
2909,taguig,powell integrated school of global city inc.,private,non-sectarian,purely es
2910,taguig,"everest academy, inc.",private,non-sectarian,es and jhs (k to 10)
2911,taguig,"leaders international christian school of manila, inc.",private,non-sectarian,es and jhs (k to 10)
2912,taguig,"bankstreet summit school, inc.",private,non-sectarian,purely es
2913,taguig,international school manila,private,non-sectarian,es and jhs (k to 10)
2914,taguig,"kelly primary school, inc.",private,non-sectarian,purely es
2915,taguig,"pnowa child learning center, inc.",private,non-sectarian,purely es
2916,taguig,"merry knowledge academe, inc.",private,non-sectarian,es and jhs (k to 10)
2917,taguig,bloomfield academy of makati,private,non-sectarian,purely es
2918,taguig,chinese international school manila,private,non-sectarian,all offering (k to 12)
2919,taguig,our lady of snow excel school inc.,private,non-sectarian,purely es
2920,taguig,kapitan eddie t. reyes integrated school,public,deped managed,all offering (k to 12)
2921,taguig,palar integrated school,public,deped managed,es and jhs (k to 10)
2922,taguig,maharlika integrated school,public,deped managed,es and jhs (k to 10)
2923,taguig,aguho elementary school,public,deped managed,purely es
2924,taguig,capt. hipolito francisco elementary school - main,public,deped managed,purely es
2925,taguig,capt. hipolito francisco elementary school annex,public,deped managed,purely es
2926,taguig,paulina manalo es,public,deped managed,purely es
2927,taguig,pateros elementary school,public,deped managed,purely es
2928,taguig,sta. ana elementary school,public,deped managed,purely es
2929,taguig,sto. rosario elementary school,public,deped managed,purely es
2930,taguig,pateros national high school,public,deped managed,jhs with shs
2931,taguig,maria concepcion cruz hs,public,deped managed,purely jhs
2932,taguig,mayor simplicio manalo national hs,public,deped managed,jhs with shs
2933,taguig,gonzales learning center,private,non-sectarian,purely es
2934,taguig,lrc learning center,private,non-sectarian,purely es
2935,taguig,pateros catholic school,private,non-sectarian,all offering (k to 12)
2936,taguig,saint genevieve school of pateros,private,non-sectarian,all offering (k to 12)
2937,taguig,cradle of great minds learning centre,private,non-sectarian,purely es
2938,taguig,saint felicity college inc.,private,non-sectarian,purely shs
2939,taguig,sep christian school,private,non-sectarian,purely es
2940,taguig,"huckleberry montessori school, inc. pateros (magtanggol)",private,non-sectarian,purely es
2941,taguig,maranatha christian academy of tabacalera pateros inc.,private,non-sectarian,purely es
2942,taguig,"abc educational development center, inc.",private,non-sectarian,purely es
2943,taguig,"affordable private education center, inc. (apec schools) -silangan, pateros b",private,non-sectarian,jhs with shs
